slug,title,cluster,type,primary_query,secondary_queries,intent,angle,must_include,internal_links,target_words,status
chto-takoe-lichnyy-ii,Что такое личный ИИ и чем он отличается от ChatGPT,C1 Личный ИИ,pillar,что такое личный ии,"личный ии отличия от chatgpt,персональный ассистент с памятью,приватный ии",информационный,Три столпа личного ИИ (память + владение данными + адаптация) как определение категории — а не список фич продукта.,Таблица «Личный ИИ vs облачный ассистент» по 7 свойствам; разбор 4 мифов,"kak-rabotaet-pamyat-ii,chatgpt-vs-lichnyy-ii,privatnyy-ii-lokalno,svoya-model-fine-tune,zapis-ekrana-ii-pamyat,lokalnaya-model-vs-oblako",2600,existing
personalnyy-ii-dlya-raboty,Персональный ИИ для работы: как ассистент с памятью экономит часы,C1 Личный ИИ,guide,персональный ии для работы,"ии ассистент с памятью,ии для продуктивности,рабочий ассистент ии",информационный,"Считает экономию времени по конкретным рабочим ритуалам (планёрка, отчёт, поиск вчерашнего решения), а не по абстрактной «продуктивности».",Разбор 5 рабочих сценариев с оценкой сэкономленного времени,"chto-takoe-lichnyy-ii,ii-pomoshchnik-vtoroy-mozg,otchet-po-rabote-iz-taymlayna,podgotovka-k-vstreche-s-pomoshchyu-pamyati,personalnyy-ii-dlya-rukovoditelya",1800,existing
kak-nachat-za-5-minut,Как начать с Persona за 5 минут: захват память и первый вопрос,C1 Личный ИИ,guide,persona как начать,"как настроить захват экрана,ии ассистент с памятью,screen recording ocr",транзакционный,Самый короткий путь от установки до первого осмысленного ответа памяти — пять шагов и ни одного лишнего.,Пошаговый чек-лист из 5 шагов с проверкой результата на каждом,"ustanovka-persona-na-windows-poshagovo,podklyuchit-klyuch-v-persona-poshagovo,nastroika-privatnosti-zahvata,podklyuchaem-ollama-k-persona,chto-takoe-lichnyy-ii",1200,existing
lichnyy-ii-vs-korporativnyy-assistent,Личный ИИ против корпоративного ассистента: кому принадлежит ваш контекст,C1 Личный ИИ,comparison,личный ии против корпоративного ассистента,"copilot для работы,корпоративный ии ассистент,ии в компании и личные данные",коммерческий,"Корпоративный ассистент оптимизирован под интересы работодателя — статья показывает, где эти интересы расходятся с вашими, и что происходит с контекстом при увольнении.","Таблица «кому принадлежит артефакт» по 8 типам данных (переписка, заметки, история поиска, профиль)","chto-takoe-lichnyy-ii,persona-vs-copilot-microsoft-365,korporativnye-zaprety-na-chatgpt,nda-i-oblachnyy-ii,personalnyy-ii-dlya-frilansera",1600,planned
ii-kotoryy-pomnit-cheloveka,ИИ который помнит вас: что стоит за этим обещанием,C1 Личный ИИ,explainer,ии который помнит,"ассистент с памятью между сессиями,нейросеть которая запоминает,ии помнит контекст",информационный,"Разбирает четыре разных механизма, которые продавцы одинаково называют «памятью», и учит по интерфейсу определить, какой из них перед вами.","Таблица 4 типов «памяти» (профиль, заметки, RAG, дообучение) с признаками распознавания","kak-rabotaet-pamyat-ii,pamyat-chatgpt-kak-ustroena,chat-s-pamyatyu-bitemporal,chto-takoe-rag-prostymi-slovami,rag-vs-fine-tune-chto-vybrat,chto-takoe-lichnyy-ii",1500,planned
personalnyy-ii-dlya-studenta,Персональный ИИ для студента: конспекты сессия и честные границы,C1 Личный ИИ,guide,ии для студента,"ии для учёбы,конспекты нейросетью,ии для подготовки к экзамену",информационный,"Единственная статья в карте, которая проводит границу между помощью в учёбе и списыванием, и предлагает рабочий режим «ИИ проверяет, а не пишет».",Схема учебного цикла с ИИ на 4 фазы + список из 6 запрещённых для себя приёмов,"ii-dlya-uchyoby-konspekty,ii-i-chtenie-knig-zametki,zettelkasten-i-ii,besplatnye-llm-api-2026,chto-takoe-lichnyy-ii",1400,planned
personalnyy-ii-dlya-frilansera,Персональный ИИ для фрилансера: память по клиентам и проектам,C1 Личный ИИ,guide,ии для фрилансера,"ии ассистент для самозанятого,ии для проектов,ии помощник фрилансеру",информационный,"Ставит задачу иначе: фрилансеру нужна не «продуктивность», а изоляция контекстов пяти клиентов друг от друга.",Схема разделения памяти по клиентам + чек-лист приёмки проекта,"graf-pamyati,personalnyy-ii-dlya-raboty,nda-i-oblachnyy-ii,otchet-po-rabote-iz-taymlayna,lichnyy-ii-vs-korporativnyy-assistent",1300,planned
personalnyy-ii-dlya-rukovoditelya,Персональный ИИ для руководителя: контекст встреч без ручных заметок,C1 Личный ИИ,guide,ии для руководителя,"ии для менеджера,ассистент руководителя ии,ии для встреч",информационный,"Про руководителя как «человека с 30 короткими контекстами в неделю» — и почему для него ценнее полнота истории, а не качество ответа.",Таблица «что помнить по каждому подчинённому и проекту» + шаблон подготовки к 1:1,"podgotovka-k-vstreche-s-pomoshchyu-pamyati,graf-pamyati,brifing-i-nl-napominaniya,itogi-nedeli-avtomaticheski,personalnyy-ii-dlya-raboty",1400,planned
personalnyy-ii-dlya-razrabotchika,Персональный ИИ для разработчика: не копилот а память о своих решениях,C1 Личный ИИ,guide,ии для разработчика,"ии помощник программисту,ассистент для кода с памятью,ии помнит архитектурные решения",информационный,"Отделяет копилот в редакторе (пишет код) от личного ИИ (помнит, почему код такой) — и показывает, что вторая роль не закрыта ни одним копилотом.",Таблица «копилот vs личный ИИ» по 6 задачам разработчика + формат ADR-заметки,"modeli-dlya-koda-obzor,graf-pamyati,agent-s-dostupom-k-faylam-nastroyka,pochemu-agentu-nelzya-davat-shell,chto-takoe-lichnyy-ii",1500,planned
personalnyy-ii-dlya-pisatelya,Персональный ИИ для пишущего: свой голос а не усреднённый,C1 Личный ИИ,guide,ии для писателя,"ии для копирайтера,нейросеть пишет в моём стиле,ии редактор текста",информационный,"Единственная статья, которая говорит, что генерация текста ИИ — это плохая цель, а хорошая — это память о своих формулировках и правках.",Схема пайплайна «черновик человека → критика ИИ → правка человека» + список из 5 признаков ИИ-текста,"svoya-model-fine-tune,kak-sobrat-dataset,razmetka-horoshih-otvetov-lajki,sistemnyy-promt-dlya-lichnogo-ii,ii-i-chtenie-knig-zametki",1400,planned
